Unnamed: 0,Tweet Posted Time (UTC),Tweet Content,Tweet Location
267562,27/04/2020,Mera Photo Tours is launching a campaign to remind people that this is the time to stand united  stay focussed & move forward 2gether. Let's all #StayHome &amp; #StaySafe &amp; dream of the incredible days to come. #VisitKeralaLater #MeraPhotoTours #Kerala #Covid19 #covid_19 #corona,Kerala
276826,27/04/2020,Cancer care model could help us cope with COVID-19  says nanomedicine expert https://medicalxpress.com/news/2020-04-cancer-cope-covid-nanomedicine-expert.html via @medical_xpress,Kerala
276827,27/04/2020,SC Staff Tests Positive For COVID-19 ,Kerala
276828,27/04/2020,The world is not watching despite these being sent to world. They are too busy with Covid. Enough of playing victim. When you keep hating kafirs  hate begets hate. Law of repulsion. Try law of attraction now onwards  for a change.,Kerala
276829,27/04/2020,COVID-19; Legal Impact On Commercial Contracts ,Kerala
276830,27/04/2020,Coronavirus: Researchers in US and China team to find the origins of COVID-19 #Coronavirus,Kerala
276831,27/04/2020,Republic has completely forgotten about COVID. Just following up another virus #ArnabVirus,Kerala
276832,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR.  valid for 1 year ,Kerala
276833,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR.  valid for 1 year ,Kerala
276834,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR.  valid for 1 year ,Kerala
276835,27/04/2020,@MoCA_GoI. Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref ,Kerala
276836,27/04/2020,@IndiGo6E Indigo is looting customers during covid also. They will not refund for may 22cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR J,Kerala
276837,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR JLSIFA  valid for 1 year ,Kerala
276838,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR JLSIFA  valid for 1 year ,Kerala
276839,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR JLSIFA  valid for 1 year ,Kerala
276840,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR JLSIFA  valid for 1 year ,Kerala
276841,27/04/2020,Indigo is looting customers during covid also. They will not refund for may 22 nd cancelled flight also. IndiGo: Your flight on 22-May-2020 is cancelled due to COVIDtravel restrictions. We have protected booking in the form of credit shell ref PNR JLSIFA  valid for 1 year ,Kerala
276842,27/04/2020,13 people have tested positive for COVID-19 in Kerala today. Six in Kottayam  four in Idukki  One each in Palakkad  Malappuram and Kannur.,Kerala
276843,27/04/2020,GIFT: Webinar on COVID-19 Pandemic and Fiscal Federalism in India ,Kerala
276844,27/04/2020,Realy bad idea... covid 19 incubation period 10 - 14 days.. ,Kerala
276845,27/04/2020,The Petition Has A Political Colour: SC Dismisses Plea For Door to Door Testing for COVID-19  As Withdrawn ,Kerala
276846,27/04/2020,These guys want to see this country full of beggars by draining everyone Income tax officers suggest 40% tax on super-rich  Covid-relief cess ,Kerala
276847,27/04/2020,Mera Photo Tours is launching a campaign to remind people that this is the time to stand united  stay focussed & move forward 2gether. Let's all #StayHome &amp; #StaySafe &amp; dream of the incredible days to come. #VisitKeralaLater #MeraPhotoTours #Kerala #Covid19 #covid_19 #corona,Kerala
276848,27/04/2020,Is it a plan to Covid jihad? ,Kerala
276849,27/04/2020,This one delicious natural Mango flavoured cake baked at home for my birthday. This was my first time baking so tried the simplest way and it was super yummy. It was a lockdown birthday this time and I wasâ¦ https://www.instagram.com/p/B_fkdIAlJHk/?igshid=ypykyeohhabk,Kerala
276850,27/04/2020,What is love? An Assamese Hindu family offering Iftaar to a Muslim who couldn't return his home due to the lockdown. This is what we all should learn. This is LOVE! ,Kerala
276851,27/04/2020,For you it's lockdown  stay at Home. For Muslims it's Lockdown  stay in prison! #StopTargetingJMI,Kerala
276852,27/04/2020,Subsidize 70% Wages From PM CARES Fund : 11 MSMEs Move SC Against Direction To Pay Full Wages During Lockdown [Read Petition] ,Kerala
276853,27/04/2020,No effect until the lockdown is lifted. How many SME's will survive if lockdown continues for another month,Kerala
276854,27/04/2020,#DrManMohanSingh is the only person who can well handle this crisis. With possibility of lockdown extension in few states Congress ruled states should take advice on how to increase revenue after lockdown relaxation and to make states economy in stable condition,Kerala
276855,27/04/2020,Idiots were justifying lockdown relaxation saying they will enforce social distancing.. What logic ,Kerala
276856,27/04/2020,#SadhguruForChallengingTimes #CoronavirusOutbreak #lockdown everyone should see @SadhguruJV ji &amp; @iamsanthanam sir so good ,Kerala
276857,27/04/2020,'What Kind Of Petition Is This': SC Dismisses Plea For Free Services From TV Channels  Streaming Apps During Lockdown ,Kerala
276858,27/04/2020,Kerala wants partial #lockdown in force till May 15. Inter-state  inter-district travels should be restricted till then  @CMOKerala @vijayanpinarayi urges Government of India @NewIndianXpress @xpresskerala,Kerala
276859,27/04/2020,Obviously @sidharth_shukla Bhai best or close friend @ishehnaaz_gill is beautiful than reshmi desai without makeup while staying at home during #Lockdown #SidHearts,Kerala
276860,27/04/2020,SC Seeks Centre's Response on Implementation of MHA Order For Payment of Full Wages During Lockdown ,Kerala
276861,27/04/2020,SC Seeks Centre's Response On Movement Of Migrant Workers Heading Home During Lockdown ,Kerala
276862,27/04/2020,SC Issues Notice On Plea Seeking Full Refund For Tickets Of Flights Cancelled During Lockdown ,Kerala
276863,27/04/2020,It Seems Arbitrary: SC Issues Notice On Plea Seeking Refund Of Airfare For Tickets Booked During National Lockdown ,Kerala
276864,27/04/2020,Full lockdown in NE states. Lockdown reduced in other areas. Kerala CM why waste time..?,Kerala
276865,27/04/2020,If Business Does Not Start  How Long Will People Sustain Without Jobs? SC Issues Notice In Plea Against Media Houses Laying Off Employees Amid Lockdown ,Kerala
276866,27/04/2020,Same here in Thrikkaruva (Kollam) also they cald triple lockdown and v the natives  don't know the exact reason. Earlier one +ve case was here and he got cured his wif is at Parippally MCH undr obsrvation and nw aftr thyroidectomy. Heard rumours of unannounced tablig cases behind,Kerala
276867,27/04/2020,1. Lock down was announced out of blue with proper preparations 2. Testing rate is abysmal 3. Lack of application of mind made more vulnerability of some avoidable quarters.,Kerala
276868,27/04/2020,On the ground: Many are getting infected  asymptomatic  getting cured themselves where as unwittingly transmitting to others those are vulnerable. A vaccine is 18 or more months away  so extending lock down with present testing rate is not a solution.,Kerala
276869,27/04/2020,National Lockdown: Madras HC Extends Life Of Interim Orders Till June 1 [Read Order] ,Kerala
276870,27/04/2020,Current lock down period gave lot of relevant inf which was not available at the time when lockdown was announced. So itâs clear that extended lock down with planned testing rate is not going to be an inept decision  if extended.,Kerala
276871,27/04/2020,Sweden went with no lockdown approach.. Got screwed royally.. ,Kerala
276872,27/04/2020,So according to Nitishkumar Yogi Adityanath his ally motivated injustice to lock down? Godi media conveniently avoids to discuss.,Kerala
276873,27/04/2020,India has a Central Govt Where are the funds of PM CARES 20000 CR Central Vista Project If all this funds are taken for feeding the Poor  the lockdown extension is possible Life of people is important More than anything Let it be the poor of rich Life is more important,Kerala
276874,27/04/2020,India can afford extension of Lockdown Central Govt has to come out with plans and relief package to boost the economy People's safety is more important @bainjal If Govt is not able to feed Poor or people who suffer because of Lockdown Then it's Central Govt failure ,Kerala
276875,27/04/2020,India with a population of 1.3 Billion & vast area  can't & should not apply the same 'yard stick' in deciding the extension of #lockdown . Monsoon will be a key factor for #keralagovt . Extending the Lockdown may not be a wise decision for Kerala @PMOIndia @vijayanpinarayi,Kerala
291961,28/04/2020,How China is ruthlessly exploiting the coronavirus pandemic it helped cause â¦@palkisuâ© ...,Kerala
291962,28/04/2020,â¢ Day 19 - Today We North Chennai #Suriya Anna Fans Club Members Donated Food To 325 People's Who Have Been Sheltered On The Road During This #Corona Virus.. #SFCWelfareWorks @SuriyaFansClub @NorthchennaiSFC @rajsekarpandian @Suriya_offl #SooraraiPottru #à®à®©à¯à®ªà¯à®µà®¿à®¤à¯à®ªà¯à®ªà¯à®®à¯,Kerala
291963,28/04/2020,#arnabinterrogation Picture 1 :- Feeling bad for those police officers who interrogated a virus more danger than corona Picture 2 :- Amidst Coronavirus  their Breaking News is clear ,Kerala
291964,28/04/2020,Union Health Minister Harsh Vardhan @drharshvardhan Tuesday said the country will be self-reliant in producing RT-PCR and antibody testing kits by May-end that will enable it to conduct one lakh tests a day. #IndiaFightsCorona #COVID19,Kerala
291965,28/04/2020,36 Delhi Police Personnel Deployed For SC Security Quarantined After Top Court Staffer Tested Positive For COVID19 ,Kerala
291966,28/04/2020,This is the time to stand united  stay focussed & move forward together. The beaches  the backwaters  the hilltops & the spiritual abodes are here for us  if we all are willing to wait for it. Let's all #StayHome and #StaySafe #VisitKeralaLater #MeraPhotoTours #Kerala #Covid19 ,Kerala
291967,28/04/2020,#Kerala #COVID19 Update Tuesday   April 28 No.of new cases today - 4 Kasargod 1  Kannur 3 Total cases - 485 Active cases - 123 Total Recovered -359 Deaths- 3 #Covid_19india #Covid19India #COVID19 #coronavirusindia #keralafightsCorona #Kerala #CoronaUpdatesInIndia,Kerala
291968,28/04/2020,4 new #Covid19 cases today in #Kerala Kerala Kannur: 03 Kasargode :01,Kerala
291969,28/04/2020,Your position is 'populistic' & not scientific....Since a good percentage of #COVID19 patients are asymptomatic scientific methods say dialysis patients should do routine Covid testing just like HBsAG / HIV...Your present position is not in the interests of the patients/ HCWs,Kerala
291970,28/04/2020,Happiest Birthday Wishes To Glorious Actress @Samanthaprabhu2 . Follow @Abeyabraham369 @Samanthaprabhu2 #HappyBirthdaySamantha #SamanthaAkkineni #HBDsamantha #Samantha #COVID19 #StayHome #amirkhan #Dubai #à®à¯à®²à®°à¯à®®à¯_à®à¯à®¤à¯à®¤à®¿à®¯à®¾à®³à¯à®®à¯,Kerala
291971,28/04/2020, Qatar airways tirelessly serve the #World amid #Covid19 pandemic for Medical aid and help stranded abroad fly home with ensured health and safety measures #Brave @qatar @qatarairways #HIA #WHO #Gulf #GlobalCitizen #medicalsupplies,Kerala
291972,28/04/2020,Union Health Minister Harsh Vardhan @drharshvardhan Tuesday said the country will be self-reliant in producing RT-PCR and antibody testing kits by May-end that will enable it to conduct one lakh tests a day. #IndiaFightsCorona #COVID19,Kerala
300868,28/04/2020,How the opposition has squeezed Kerala Govt of funds during Covid times ,Kerala
300869,28/04/2020,Madras HC Issues Notice To Centre On PIL For GST Exemption For Masks And Sanitisers Amidst COVID outbreak ,Kerala
300870,28/04/2020,SCAsks Union Govt To Consider Suggestions On Using Rapid Anti-Body Test As Screening Tool For COVID-19 [Read Order] ,Kerala
300871,28/04/2020,#Kerala #COVID19 Update Tuesday   April 28 No.of new cases today - 4 Kasargod 1  Kannur 3 Total cases - 485 Active cases - 123 Total Recovered -359 Deaths- 3 #Covid_19india #Covid19India #COVID19 #coronavirusindia #keralafightsCorona #Kerala #CoronaUpdatesInIndia,Kerala
300872,28/04/2020,India signed $1.5 billion loan from ADB to help COVID-19 relief https://www.mixindia.com/india-signed-1-5-billion-loan-from-adb-to-help-covid-19-relief/,Kerala
300873,28/04/2020,[COVID-19] Plea In Madras HC For Bringing Back Tamil Nadu Residents Stranded In Other States [Read Petition] ,Kerala
300874,28/04/2020,Please discuss about your boss state  Gujarat model of Covid. We are eager to know something from you in this subject. ,Kerala
300875,28/04/2020,Your position is 'populistic' & not scientific....Since a good percentage of #COVID19 patients are asymptomatic scientific methods say dialysis patients should do routine Covid testing just like HBsAG / HIV...Your present position is not in the interests of the patients/ HCWs,Kerala
300876,28/04/2020,[BREAKING] Kerala HC Stays Govt Order Deferring Payment Of Portion Of Salary To Govt Servants Amid COVID-19 ,Kerala
300877,28/04/2020,"The intention of some ""neutral journos"" like him is clearly not to help the stranded  but find a reason to tar the govt's efforts in fighting covid-19.",Kerala
300878,28/04/2020,That virus is more disastrous than COVID 19.,Kerala
300879,28/04/2020,@lekhachakrborty Too much centralisation by an authoritarian regime is the main challenge to growth. COVID only compound these problems. Inc Tax  gst &amp; FC regimes must be radically revamped &amp; states shd have power to take most of economic decision,Kerala
300880,28/04/2020,Rebuilding Life After COVID-19 Lockdown â Impact Of Time Bank ,Kerala
300881,28/04/2020,HC Employee Tests Positive for COVID-19  Indore Bench Of Madhya Pradesh HC Closed Down Till May 3 [Read Notification] ,Kerala
300882,28/04/2020,Do an appraisal on Gujarat model on Covid 19. ,Kerala
300883,28/04/2020,Good Luck for exams bro Wish me luck too I had 2 exams left  before lockdown was announced. Now only God knows when the remaining exams will be conducted ,Kerala
300884,28/04/2020,90% Advocates And Lawyers Unaware Of Technology: BCI Chairman Writes To CJI Advising Against Continuation Of Virtual Hearings Post Lockdown [Read Letter] ,Kerala
300885,28/04/2020,@JThakers Bhai if @altbalaji playing #SidHearts emotions loss will be for them only they are into business mind when lockdown over good producers director pick @sidharth_shukla Bhai all know his star power in people heart We dnt want any begging for our c,Kerala
300886,28/04/2020,This is peaks of being fake. This person has no interest (or idea) about running online classes! There are home learning going on successfully across the world and it is unbelievable that an education minister is searching for ways after a month into #lockdown ,Kerala
300887,28/04/2020,Only 7 more days for the lock down to be extended.,Kerala
300888,28/04/2020,@jasmeet1118 high time only for coronea virus stay home safe &amp; this drama creative fights between #Sidhearts #Shehnaazian #SidNaaz in the name of Sidnaz Sidjen etc sab jaltha rehega only after lockdown this wil stop so don't mind some people are inter,Kerala
300889,28/04/2020,More Than 2000 Members Of Trans Community Write To Central Government For A Special Package During Lockdown ,Kerala
300890,28/04/2020,This news is tampered with. Kerala didn't seal border to the other states. Major highways to the states are open. Only other diversions closed. This is for the effective lockdown of the districts close to the border.,Kerala
300891,28/04/2020,Denial Of Access To Food To Poor Aggravates Lockdown Distress: Delhi HC Passes Directions For PDS Shops[Read Order] ,Kerala
300892,28/04/2020,NGT To Continue Hearing Via Video Conferencing Post Lockdown; Issues Instructions [Read Office Order] ,Kerala
300893,28/04/2020,Rebuilding Life After COVID-19 Lockdown â Impact Of Time Bank ,Kerala
300894,28/04/2020,Another extension of #lockdown? It's very Simple in India ! ,Kerala
300895,28/04/2020,If he is genuine  then while coming out of house he should wear a mask. #lockdown #facemask #PakkaFraud,Kerala
300896,28/04/2020,Yes & Good morning @BethFratesMD very good &amp; valuable msg one at right time all can use in life specially in this lockdown time due to Covid19 virus #StayHomeSaveLives #COVID19,Kerala
313281,28/04/2020,â¢ Day 19 - Today We North Chennai #Suriya Anna Fans Club Members Donated Food To 325 People's Who Have Been Sheltered On The Road During This #Corona Virus.. #SFCWelfareWorks @SuriyaFansClub @NorthchennaiSFC @rajsekarpandian @Suriya_offl #SooraraiPottru #à®à®©à¯à®ªà¯à®µà®¿à®¤à¯à®ªà¯à®ªà¯à®®à¯,Kerala
314482,29/04/2020,11 variants of the Coronavirus ; The most powerful Spread in the World  Finds Indian Researcher https://www.mixindia.com/11-variants-of-the-coronavirus-the-most-powerful-spread-in-the-world-finds-indian-researcher/,Kerala
314483,29/04/2020,A Palestinian musaharati wearing a mask beats a drum to wake up Muslim families for their predawn meal before they start their long-day fast in Nablus  Occupied West Bank. Photo by Raneen Sawafta. #Ù¡_Ø±ÙØ¶Ø§Ù #COVID19 ,Kerala
314484,29/04/2020,This is the time to stand united  stay focussed & move forward together. The beaches  the backwaters  the hilltops & the spiritual abodes are here for us  if we all are willing to wait for it. Let's all #StayHome and #StaySafe #VisitKeralaLater #MeraPhotoTours #Kerala #Covid19 ,Kerala
314485,29/04/2020,Following #BreakTheChain Government announces the next initiative #à´¤àµà´ªàµà´ªà´²àµà´²àµ_à´¤àµà´±àµà´±àµà´ªàµà´àµà´ #Kerala #COVID2019india #COVID19 #kerala_police #keralagovt,Kerala
314486,29/04/2020,#Kerala #COVID19 update Wednesday  April 29 No.of new cases today - 10 (2 from Kasargod including a TV journalist  2 from Trivandrum &amp; 6 from Kollam ) Total cases - 496 Active cases - 123 Total Recovered -369 (10 today) Deaths- 4 #Kerala #COVID2019india,Kerala
314487,29/04/2020,U mean old force to be given to #COVID19..?,Kerala
314488,29/04/2020,One of the two engines of their boat developed a snag near the Andhra Pradesh-Odisha border. Another fishing boat carrying 33 migrant workers from Chennai reached Odishaâs Ganjam district on Tuesday. https://ncdconline.org/ #covid19 #nationalchilddevelopmentcouncil,Kerala
314489,29/04/2020, Face masks are compulsory at public places in Kerala from Thursday 30-04-2020  face should cover with Mask  handkerchief or Towel. #keralafightsCorona #IndiaFightsCorona #WHO #keralapolice #WeWillWin #healthy #HealthyAtHome #StayAtHomeAndStaySafe #WashYourHands #BreakTheChain,Kerala
322125,29/04/2020,Child Trafficking After Covid-19: Govt Must Move To Bolster Laws ,Kerala
322126,29/04/2020,Mother Of An Employee At Alipore District Court Tests Covid Positive; Sitting Of Special Bench Deferred Until Further Orders [Read Notifications] ,Kerala
322127,29/04/2020,#Kerala #CoronaUpdates Kerala - 10 New Covid Cases &amp; 10 People Recovered +Positive Kollam 6  Trivandrum 2  Kasaragod 2 #Covid19India #COVIDã¼19 #Indian #coronavirusinindia #keralagovt #COVIDã¼19 #ExtendTheLockdown #ExtendLockdown,Kerala
